gene	gene_pval_positive	ngrna_lfc_positive	gene_lfc_positive	fdr_gene_positive_rra	mean_log2FC_positive	SEM_positive	z_positive	pval_gene_positive	ngrna_tested_positive	fdr_gene_positive_wald	gene_pval_negative	ngrna_lfc_negative	gene_lfc_negative	fdr_gene_negative_rra	mean_log2FC_negative	SEM_negative	z_negative	pval_gene_negative	ngrna_tested_negative	fdr_gene_negative_wald
ygdB											0.0008579992624938604	2.0	-1.53485561620102	0.0009613662148417475	-1.53485561620102	0.4417673342956292	-3.4743528935842503	0.0005120870678455801	2.0	0.0009369992729692317
ygdG											1.50016586713856e-05	2.0	-1.491026176211097	1.8910096429169347e-05	-1.491026176211097	0.6497528295344983	-2.2947590351846734	0.021746937481873566	2.0	0.028618587082084347
ygeR	1.9038351645406196e-06	2.0	0.33315533844691997	1.277156089545999e-05	0.33315533844691997	0.028147395636112956	11.836098186628801	2.539970477363004e-32	2.0	7.354950483011577e-32	1.1877753236017668e-18	3.0	-2.6554192620135386	2.709093654212416e-18	-2.6554192620135386	1.2668756077240522	-2.096037879191637	0.03607883087113851	3.0	0.045129966141946774
ygfB											2.1233383548658782e-11	3.0	-1.986785069265835	3.575414959647515e-11	-1.986785069265835	0.8338903082894339	-2.382549658529242	0.017193212911785265	3.0	0.02322183384247897
ygfK											3.215990962886301e-18	5.0	-1.3850837711956483	7.224910861553079e-18	-1.3850837711956483	0.31511417335715036	-4.3954981663925174	1.1051899700785904e-05	5.0	2.586461533625906e-05
ygfT	5.123219034578961e-06	3.0	0.5866043416890471	2.7494608818907094e-05	0.5866043416890471	0.07398977777023462	7.928180883454854	2.2237924607129758e-15	3.0	3.841529894579282e-15	0.00017264292081036497	2.0	-0.6990987472683952	0.000203342547804859	-0.6990987472683952	0.03806331511004229	-18.366733040652864	2.425810137840622e-75	2.0	4.7849771400262824e-74
ygfZ											0.0012870951551520215	2.0	-0.7754740757540037	0.0014208707278584739	-0.7754740757540037	0.30923535056355717	-2.5077148338337225	0.012151468909584373	2.0	0.01712079018265616
yggC											0.01943793254381651	2.0	-0.6731657419787962	0.019915005089127077	-0.6731657419787962	0.08440344808300353	-7.97557158229834	1.516772157845353e-15	2.0	7.734676202648889e-15
yggF											1.5783164243895035e-35	2.0	-2.467713885293097	6.603911379438599e-35	-2.467713885293097	0.45099099953690036	-5.471758611207466	4.4559150174016815e-08	2.0	1.3420079624557079e-07
yghA											2.4336948525664353e-49	2.0	-3.1346904221884593	1.5221192544797043e-48	-3.1346904221884593	0.11288749373264761	-27.76827014702242	1.0486348418463397e-169	2.0	3.551508568139962e-168
