gene	gene_pval_positive	ngrna_lfc_positive	fdr_gene_positive	gene_lfc_positive	gene_pval_negative	ngrna_lfc_negative	fdr_gene_negative	gene_lfc_negative
gntU	0.4804004181934647	11.0	0.8819130320123508		1.2242545865793902e-29	11.0	8.371709935421545e-29	-1.4399885775202246
gntX	1.630991913980652e-10	8.0	7.073068266962761e-08	0.7509357941014606	0.43923745075914267	3.0	0.5834471387048057	
gor	0.538334791212788	9.0	0.9339664532147479		3.848007645498497e-11	19.0	1.2009532109635135e-10	-1.1009701256139885
gph	0.019600262930479402	6.0	0.09398013048852716	0.32836241235804464	0.0017427420420158656	5.0	0.003309710388589404	-0.9865221649258952
gpmA	0.3424658164651712	10.0	0.7109808945018954	0.3962319394984774	0.09171054510032373	6.0	0.1405733008038527	-2.1858564065289734
gpmM	0.0013251821471907616	12.0	0.012256364740487068	0.4577749875065144	1.2254391950395955e-34	14.0	1.0206855182164178e-33	-2.191786973767067
gpp	0.9360146481842627	9.0	0.9994630414401307		4.754408460741766e-17	20.0	2.01808384770588e-16	-2.0337809485491274
gpsA	7.261778352589266e-05	14.0	0.001176046510794851	0.38480117467994834	3.1694746158785206e-09	13.0	8.981685198919659e-09	-1.0603235755780098
gpt	0.7995110174047895	6.0	0.9994630414401307		0.976467219176558	4.0	0.9995334312006408	
grcA	0.2942520967034808	2.0	0.643038036637002		0.038567973031691884	5.0	0.06236489900484813	-5.395580232759013
greA	0.010644474420144382	3.0	0.06003668159223052	0.6080249671662001				
greB	0.9785298935538438	5.0	0.9994630414401307		0.9828637545203187	3.0	0.9995334312006408	
groL	0.9930703954285455	12.0	0.9994630414401307		1.646946301470516e-70	26.0	4.3048142471989206e-69	-2.645845383876048
groS					0.12407092555045068	2.0	0.1849657738131109	
grpE	0.46044202690163905	7.0	0.8570806912840517		0.00015540809125161702	4.0	0.0003246247878773262	-0.4629427249488724
grxB	0.8839712673457782	3.0	0.9994630414401307		0.8153359760925827	5.0	0.9705367102086356	
grxC	0.8681289976843988	4.0	0.9994630414401307		0.7243796094968672	2.0	0.8932216600034306	
grxD	0.4045812295572887	7.0	0.7905083332119769		0.0654791544315065	5.0	0.10234015757528533	-0.6138991265072545
gshA	0.9134535262244888	15.0	0.9994630414401307		0.15929798471547316	17.0	0.2335390750090682	-0.5378463987779254
gshB	0.9846795442815404	12.0	0.9994630414401307		4.6539149893960045e-06	12.0	1.0787633753133213e-05	-1.002736560242745
gsiA	0.00020072254959639728	23.0	0.002720208719009509	0.432611222508447	6.49502668361807e-15	13.0	2.4390114379975986e-14	-1.2052141731509287
gsiB	4.837538073337774e-05	26.0	0.000866096839460428	0.4712835607427234	0.020536159592218845	14.0	0.03442622871725125	-3.973109141390049
gsiC	0.25180694853886637	7.0	0.5774397885706202	0.5328076602847414	2.0434172977217027e-05	10.0	4.568653305485833e-05	-0.6415218182609241
gsiD	0.7021817855085641	7.0	0.9994630414401307		0.2816188907183696	7.0	0.3946637928832742	-0.8954707939546299
gsk	0.0032545290360770874	13.0	0.024474810843562372	0.3577256520947978	2.3462140548114525e-05	11.0	5.213371610607327e-05	-1.135115100362923
gspA	1.7583809225312724e-06	14.0	6.588534117322288e-05	0.568219980569134	9.795520962709009e-78	17.0	3.243133732070241e-76	-2.1641002864685994
gspB					0.5244842652213132	6.0	0.6796399170659744	
gspC	0.873089618804485	4.0	0.9994630414401307		0.9693608070806372	4.0	0.9995334312006408	
gspD	5.524588821658172e-07	15.0	3.0179613275686558e-05	0.6242933657247942	6.454033366063043e-28	16.0	4.102699930138955e-27	-3.584332902493406
gspE	0.0028187419915756897	19.0	0.02191543823330661	0.3964953884796767	0.06871522696297251	12.0	0.10714505365929741	-0.6994561327312641
gspF	4.821806335309165e-07	12.0	2.8514409282896472e-05	0.48942737271441544	4.213967198411428e-21	7.0	2.1032778491568597e-20	-5.082393307105709
gspG	0.0001797626738521013	5.0	0.0025606340001633264	0.4671098910725588	0.2935286178902059	7.0	0.40976430037870276	-0.8478672874603862
gspH	0.9549085366860928	6.0	0.9994630414401307		0.8681611068597982	3.0	0.9995334312006408	
gspI					0.01425513084677082	4.0	0.024265481942682292	-2.280243916218746
