gene	gene_pval_positive	ngrna_lfc_positive	gene_lfc_positive	fdr_gene_positive_rra	mean_log2FC_positive	SEM_positive	z_positive	pval_gene_positive	ngrna_tested_positive	fdr_gene_positive_wald	gene_pval_negative	ngrna_lfc_negative	gene_lfc_negative	fdr_gene_negative_rra	mean_log2FC_negative	SEM_negative	z_negative	pval_gene_negative	ngrna_tested_negative	fdr_gene_negative_wald
insH-9	5.051916623834664e-07	8.0	0.38303456182625617	4.469003167238357e-06	0.38303456182625617	0.03559548640191965	10.760762123076347	5.273224208781508e-27	8.0	1.2747584048255597e-26	4.7126049768521384e-30	12.0	-1.2464261053634849	1.5990786263609805e-29	-1.2464261053634849	0.2115363110189671	-5.892256035663427	3.8095829306222255e-09	12.0	1.2501282194637834e-08
insI-1	7.557655562406375e-05	3.0	0.39007466644940764	0.00026801377655229653	0.39007466644940764	0.04682830809177645	8.32989023829176	8.091734101728573e-17	3.0	1.4637856071666294e-16										
insI-2	7.557655562406375e-05	3.0	0.39007466644940764	0.00026801377655229653	0.39007466644940764	0.04682830809177645	8.32989023829176	8.091734101728573e-17	3.0	1.4637856071666294e-16										
insI-3	7.557655562406375e-05	3.0	0.39007466644940764	0.00026801377655229653	0.39007466644940764	0.04682830809177645	8.32989023829176	8.091734101728573e-17	3.0	1.4637856071666294e-16										
intA	0.0027291123124762572	2.0	0.4209601280040136	0.004970442107564224	0.4209601280040136	0.10730253386278395	3.9231145141672785	8.741157738648516e-05	2.0	9.719104944215546e-05										
intF	0.004492812950080505	2.0	0.4035847316206813	0.007323394871112767	0.4035847316206813	0.09490450051167815	4.252535226936046	2.1136395491329883e-05	2.0	2.4446549382931833e-05										
iscS	0.029413446690174146	2.0	0.3509415102629919	0.03211399047001859	0.3509415102629919	0.024511747316834698	14.317278394183056	1.7067743163632118e-46	2.0	6.669676333361094e-46	4.3179956144371417e-106	16.0	-2.1505107875385736	1.490538870752821e-104	-2.1505107875385736	0.22118146427501617	-9.722834571999382	2.409779709080832e-22	16.0	1.7441752329839086e-21
ivy	0.00852261445218018	2.0	0.4724646066299397	0.011994238870638189	0.4724646066299397	0.02639029610721319	17.902967238810263	1.1180317895434041e-71	2.0	6.2938153187583235e-71										
katG	0.002093850222457896	2.0	0.5048463304736049	0.004073922787289399	0.5048463304736049	0.2246121069449198	2.2476363244186355	0.02459938934660923	2.0	0.024691407012494303	5.487358247663815e-07	5.0	-1.1283603782553648	7.43381739966532e-07	-1.1283603782553648	0.172159149527186	-6.554170262540611	5.595209984534602e-11	5.0	2.1460260517606003e-10
kdpA	3.0926118710405146e-12	6.0	0.5075845145322406	4.1492542603126905e-10	0.5075845145322406	0.05457280797383689	9.301051812755999	1.390631019347108e-20	6.0	2.791665762030977e-20	0.03782818598987471	2.0	-0.5442100970758742	0.0380614315312921	-0.5442100970758742	0.10627182474002825	-5.1209254984298065	3.0403975681894626e-07	2.0	8.47440005419268e-07
